iter	Passed	Remaining
398	101051	152210
399	101283	151924
400	101508	151630
401	101753	151365
402	101924	150989
403	102149	150695
404	102350	150366
405	102575	150072
406	102816	149803
407	103041	149511
408	103277	149234
409	103534	148988
410	103809	148768
411	104066	148521
412	104278	148211
413	104516	147938
414	104745	147653
415	104989	147388
416	105232	147123
417	105479	146864
418	105715	146588
419	105959	146325
420	106228	146095
421	106466	145824
422	106697	145541
423	106951	145293
424	107187	145018
425	107414	144732
426	107642	144448
427	107886	144184
428	108097	143878
429	108334	143606
430	108568	143329
431	108826	143087
432	109071	142826
433	109314	142562
434	109591	142342
435	109815	142054
436	110060	141793
437	110302	141529
438	110552	141275
439	110800	141019
440	111039	140750
441	111279	140483
442	111493	140184
443	111727	139910
444	111971	139650
445	112211	139383
446	112438	139101
447	112689	138849
448	112932	138587
449	113174	138324
450	113401	138043
451	113636	137771
452	113919	137557
453	114166	137301
454	114460	137101
455	114717	136855
456	115019	136664
457	115360	136518
458	115677	136342
459	115910	136068
460	116170	135826
461	116456	135614
462	116713	135367
463	116998	135152
464	117285	134941
465	117513	134660
466	117807	134456
467	118049	134193
468	118288	133925
469	118511	133640
470	118751	133374
471	118996	133114
472	119248	132862
473	119482	132590
474	119687	132285
475	119905	131997
476	120154	131741
477	120393	131475
478	120623	131200
479	120882	130956
480	121121	130690
481	121388	130454
482	121617	130178
483	121830	129885
484	122052	129602
485	122300	129347
486	122556	129099
487	122777	128816
488	123007	128541
489	123261	128292
490	123507	128035
491	123769	127794
492	124008	127530
493	124191	127208
494	124467	126982
495	124697	126708
496	124955	126463
497	125169	126175
498	125432	125935
499	125686	125686
500	125906	125403
501	126131	125126
502	126337	124830
503	126565	124556
504	126790	124279
505	127052	124039
506	127330	123814
507	127585	123566
508	127812	123292
509	128038	123017
510	128293	122770
511	128548	122523
512	128790	122262
513	129034	122005
514	129278	121748
515	129519	121487
516	129762	121228
517	129987	120953
518	130204	120670
519	130432	120399
520	130683	120148
521	130942	119904
522	131188	119649
523	131432	119392
524	131725	119180
525	131958	118913
526	132226	118677
527	132459	118411
528	132712	118161
529	132942	117892
530	133186	117635
531	133459	117404
532	133709	117152
533	133948	116891
534	134189	116631
535	134409	116354
536	134646	116092
537	134909	115851
538	135137	115581
539	135393	115335
540	135626	115069
541	135842	114789
542	136072	114521
543	136294	114246
544	136545	113996
545	136822	113767
546	137061	113507
547	137284	113234
548	137507	112961
549	137743	112698
550	137961	112422
551	138219	112178
552	138454	111915
553	138715	111673
554	138963	111421
555	139229	111183
556	139448	110907
557	139690	110651
558	139946	110405
559	140174	110137
560	140425	109887
561	140756	109700
562	141001	109445
563	141295	109228
564	141606	109024
565	141891	108800
566	142175	108575
567	142435	108331
568	142710	108098
569	142952	107841
570	143235	107614
571	143490	107367
572	143756	107127
573	144044	106903
574	144326	106676
575	144615	106452
576	144904	106230
577	145162	105983
578	145418	105736
579	145639	105463
580	145902	105220
581	146145	104963
582	146412	104723
583	146699	104498
584	147021	104297
585	147261	104038
586	147533	103801
587	147766	103536
588	148032	103296
589	148274	103038
590	148550	102803
591	148795	102548
592	149038	102290
593	149265	102023
594	149499	101759
595	149763	101517
596	150015	101266
597	150229	100990
598	150493	100747
599	150729	100486
600	150956	100219
601	151195	99959
602	151430	99697
603	151651	99427
604	151887	99166
605	152135	98913
606	152385	98661
607	152634	98409
608	152873	98150
609	153129	97902
610	153342	97627
611	153586	97372
612	153810	97103
613	154053	96848
614	154291	96588
615	154528	96329
616	154775	96076
617	155037	95832
618	155266	95568
619	155506	95310
620	155770	95067
621	156035	94825
622	156344	94610
623	156632	94381
624	156858	94115
625	157104	93861
626	157332	93596
627	157562	93333
628	157803	93076
629	158047	92821
630	158258	92547
631	158491	92286
632	158735	92031
633	158968	91770
634	159184	91499
635	159430	91246
636	159686	90999
637	159908	90731
638	160140	90470
639	160318	90179
640	160550	89918
641	160792	89662
642	161050	89416
643	161302	89167
644	161534	88906
645	161788	88658
646	162024	88399
647	162281	88152
648	162529	87901
649	162767	87643
650	162992	87380
651	163243	87130
652	163483	86874
653	163743	86628
654	163987	86375
655	164260	86136
656	164509	85885
657	164743	85626
658	164995	85377
659	165240	85124
660	165482	84869
661	165716	84610
662	165966	84360
663	166206	84104
664	166469	83860
665	166764	83632
666	166981	83365
667	167256	83127
668	167492	82870
669	167727	82612
670	167961	82353
671	168212	82103
672	168500	81871
673	168751	81621
674	169004	81372
675	169254	81122
676	169490	80864
677	169731	80610
678	169971	80354
679	170179	80084
680	170450	79843
681	170744	79614
682	171026	79378
683	171308	79142
684	171587	78905
685	171883	78675
686	172163	78438
687	172430	78195
688	172684	77946
689	173054	77748
690	173345	77516
691	173624	77277
692	173925	77049
693	174183	76801
694	174415	76542
695	174684	76299
696	174936	76048
697	175235	75818
698	175568	75602
699	175935	75400
700	176300	75198
701	176724	75019
702	177077	74810
703	177424	74599
704	177686	74351
705	177945	74101
706	178220	73859
707	178529	73630
708	178811	73390
709	179090	73149
710	179320	72888
711	179570	72635
712	179842	72390
713	180080	72133
714	180356	71890
715	180626	71645
716	180917	71408
717	181173	71157
718	181453	70915
719	181710	70665
720	181981	70419
721	182229	70166
722	182496	69919
723	182755	69669
724	183064	69438
725	183345	69196
726	183652	68964
727	183969	68735
728	184273	68502
729	184598	68276
730	184939	68055
731	185270	67831
732	185570	67595
733	185904	67371
734	186153	67116
735	186487	66892
736	186812	66664
737	187151	66441
738	187463	66208
739	187713	65953
740	187944	65691
741	188185	65433
742	188466	65189
743	188729	64939
744	188999	64691
745	189240	64433
746	189505	64183
747	189764	63931
748	190034	63683
749	190279	63426
750	190535	63173
751	190782	62917
752	191029	62661
753	191281	62407
754	191543	62156
755	191826	61912
756	192105	61666
757	192370	61416
758	192666	61176
759	192976	60939
760	193255	60693
761	193511	60440
762	193790	60194
763	194070	59948
764	194333	59697
765	194607	59449
766	194878	59200
767	195187	58962
768	195489	58723
769	195794	58484
770	196100	58245
771	196411	58007
772	196651	57749
773	196924	57499
774	197206	57253
775	197455	56997
776	197685	56736
777	197933	56479
778	198200	56228
779	198504	55988
780	198747	55730
781	198984	55471
782	199232	55215
783	199457	54952
784	199673	54687
785	199937	54435
786	200179	54178
787	200418	53919
788	200663	53662
789	200933	53412
790	201207	53163
791	201466	52910
792	201733	52659
793	201975	52401
794	202199	52139
795	202448	51883
796	202682	51624
797	202946	51372
798	203178	51112
799	203430	50857
800	203673	50600
801	203917	50343
802	204147	50083
803	204362	49819
804	204624	49567
805	204851	49306
806	205101	49051
807	205324	48789
808	205620	48545
809	205898	48297
810	206172	48047
811	206399	47787
812	206632	47527
813	206884	47273
814	207137	47018
815	207407	46768
816	207644	46510
817	207892	46254
818	208143	45999
819	208374	45740
820	208629	45486
821	208897	45235
822	209167	44985
823	209437	44734
824	209674	44476
825	209905	44217
826	210141	43959
827	210400	43706
828	210624	43446
829	210875	43191
830	211096	42930
831	211332	42672
832	211608	42423
833	211832	42163
834	212079	41907
835	212312	41649
836	212563	41395
837	212813	41140
838	213068	40886
839	213314	40631
840	213503	40365
841	213764	40112
842	214017	39858
843	214268	39604
844	214496	39345
845	214737	39089
846	214996	38836
847	215257	38583
848	215512	38330
849	215764	38076
850	216000	37819
851	216241	37562
852	216491	37308
853	216750	37055
854	216993	36800
855	217235	36544
856	217495	36291
857	217893	36061
858	218203	35816
859	218442	35560
860	218684	35304
861	218934	35049
862	219183	34795
863	219464	34545
864	219739	34294
865	219988	34039
866	220244	33786
867	220520	33535
868	220795	33284
869	221076	33034
870	221376	32787
871	221639	32534
872	221895	32280
873	222159	32027
874	222413	31773
875	222667	31519
876	222911	31263
877	223146	31006
878	223431	30756
879	223692	30503
880	223938	30248
881	224194	29994
882	224462	29741
883	224718	29487
884	224988	29235
885	225217	28978
886	225447	28721
887	225686	28464
888	225941	28210
889	226205	27958
890	226446	27702
891	226712	27449
892	226987	27197
893	227206	26939
894	227449	26684
895	227696	26429
896	227957	26175
897	228248	25925
898	228486	25669
899	228752	25416
900	229005	25162
901	229267	24909
902	229525	24655
903	229779	24401
904	230008	24144
905	230250	23889
906	230505	23635
907	230742	23379
908	230962	23121
909	231187	22864
910	231423	22608
911	231656	22352
912	231880	22095
913	232131	21841
914	232388	21587
915	232691	21338
916	232935	21083
917	233172	20828
918	233436	20574
919	233684	20320
920	233930	20065
921	234209	19813
922	234451	19558
923	234691	19303
924	234956	19050
925	235198	18795
926	235440	18540
927	235668	18284
928	235945	18032
929	236200	17778
930	236441	17523
931	236684	17268
932	236928	17014
933	237176	16759
934	237413	16504
935	237678	16251
936	237918	15996
937	238179	15743
938	238445	15490
939	238682	15235
940	238920	14980
941	239149	14724
942	239382	14469
943	239640	14215
944	239893	13962
945	240151	13708
946	240405	13454
947	240644	13199
948	240868	12944
949	241091	12689
950	241355	12435
951	241620	12182
952	241882	11929
953	242104	11673
954	242354	11419
955	242601	11165
956	242838	10911
957	243098	10657
958	243350	10403
959	243579	10149
960	243823	9895
961	244096	9642
962	244365	9388
963	244612	9134
964	244863	8881
965	245123	8627
966	245356	8373
967	245592	8118
968	245832	7864
969	246105	7611
970	246353	7357
971	246597	7103
972	246841	6849
973	247070	6595
974	247319	6341
975	247551	6087
976	247804	5833
977	248033	5579
978	248295	5326
979	248552	5072
980	248811	4818
981	249075	4565
982	249329	4311
983	249616	4058
984	249879	3805
985	250143	3551
986	250387	3297
987	250643	3044
988	250882	2790
989	251121	2536
990	251377	2282
991	251642	2029
992	251871	1775
993	252111	1521
994	252397	1268
995	252652	1014
996	252892	760
997	253236	507
998	253503	253
999	253792	0
