iter	MAE
144	0.1025150289
145	0.1024579817
146	0.1023602119
147	0.1022598335
148	0.1021724433
149	0.1021039905
150	0.1020195077
151	0.1019467831
152	0.1018754379
153	0.1018270074
154	0.1017593158
155	0.101676069
156	0.1016193361
157	0.1015647464
158	0.1014928867
159	0.1014353703
160	0.101359708
161	0.1012749229
162	0.1012020091
163	0.1011322939
164	0.1010799428
165	0.1010277081
166	0.1009832567
167	0.1009133847
168	0.1008443356
169	0.1007736069
170	0.1007114428
171	0.1006602542
172	0.1006177016
173	0.1005539811
174	0.1005028122
175	0.1004276699
176	0.1003561553
177	0.1003030404
178	0.1002625684
179	0.1002172385
180	0.1001431757
181	0.1001172277
182	0.100062177
183	0.1000119789
184	0.09996151162
185	0.09991501597
186	0.09984933258
187	0.09980661499
188	0.09976175755
189	0.09969140166
190	0.09963829004
191	0.09959606893
192	0.09952052528
193	0.09947062701
194	0.09939589199
195	0.099336452
196	0.09926942884
197	0.0992397797
198	0.09920972179
199	0.09913730122
200	0.09909928081
201	0.09906150357
202	0.09903291857
203	0.09898055502
204	0.09893532808
205	0.09889557222
206	0.09885772213
207	0.09881371918
208	0.09876144262
209	0.09870239418
210	0.09866322851
211	0.09861893707
212	0.09855997694
213	0.0985364591
214	0.09850337642
215	0.09844290851
216	0.09838989968
217	0.09833886316
218	0.09831412704
219	0.09825682914
220	0.09821606459
221	0.09816771368
222	0.09813645281
223	0.09810206199
224	0.09807100986
225	0.09803427068
226	0.09798165907
227	0.0979364213
228	0.09789825476
229	0.09785101458
230	0.09780343895
231	0.09775944509
232	0.09772466267
233	0.09767446856
234	0.09763161617
235	0.09759786903
236	0.09755330939
237	0.09751570751
238	0.09748650736
239	0.0974458482
240	0.09740349684
241	0.09737129509
242	0.09734096069
243	0.09731476651
244	0.09726897189
245	0.09723585743
246	0.09720711377
247	0.09719013791
248	0.09714836856
249	0.09711384582
250	0.09708109658
251	0.09704683001
252	0.0969991904
253	0.09696806301
254	0.09693995235
255	0.09691012962
256	0.096880529
257	0.0968423699
258	0.09680880881
259	0.0967679986
260	0.09672813202
261	0.09668622791
262	0.09664051335
263	0.09661898049
264	0.09659181875
265	0.09655175974
266	0.09651593626
267	0.09648158978
268	0.09644936984
269	0.0964259601
270	0.09638883289
271	0.096346157
272	0.09631237903
273	0.09629232722
274	0.09626910596
275	0.09623760609
276	0.09621049926
277	0.09617789327
278	0.09613737509
279	0.09610853943
280	0.09607587183
281	0.09605014108
282	0.0960223708
283	0.09599445417
284	0.09597141907
285	0.09593329756
286	0.0959079255
287	0.09587689533
288	0.09585256916
289	0.09582706901
290	0.09580742416
291	0.09577830865
292	0.09575607878
293	0.09572994165
294	0.09569805174
295	0.09567245362
296	0.09563430631
297	0.09560334563
298	0.09558506301
299	0.09554550268
300	0.09549959596
301	0.09548058912
302	0.09546054873
303	0.0954099908
304	0.0953889863
305	0.0953605101
306	0.09533676559
307	0.09530652832
308	0.09527915069
309	0.0952392005
310	0.0952157402
311	0.09519843808
312	0.0951798181
313	0.09516502164
314	0.09514348897
315	0.09510837041
316	0.09507253895
317	0.09504729645
318	0.09501941601
319	0.09499945146
320	0.0949811609
321	0.09495608791
322	0.09492871531
323	0.09490716326
324	0.09488628745
325	0.09486075497
326	0.09483470377
327	0.0948068551
328	0.09477999847
329	0.09474135056
330	0.09471556814
331	0.09468530409
332	0.09464552826
333	0.09461958107
334	0.09460268942
335	0.09457792243
336	0.09455392434
337	0.09453407154
338	0.09451070876
339	0.09448053539
340	0.09446466381
341	0.09442585041
342	0.09439887382
343	0.09437440435
344	0.09435511577
345	0.09431828138
346	0.09428300316
347	0.09426158649
348	0.09424085509
349	0.0942057277
350	0.09417894904
351	0.09416404274
352	0.0941316217
353	0.09411682059
354	0.09410049898
355	0.09408090052
356	0.09405216967
357	0.09402057623
358	0.09399334739
359	0.0939731665
360	0.09394894832
361	0.09393209119
362	0.09390329953
363	0.09388266167
364	0.0938648903
365	0.09384639682
366	0.09382837602
367	0.09381204987
368	0.09378835254
369	0.09377446726
370	0.09375886928
371	0.0937438408
372	0.09372470804
373	0.09370226008
374	0.09368690361
375	0.09365497672
376	0.09362212967
377	0.09360480018
378	0.09359048335
379	0.09357825854
380	0.09356329507
381	0.09354427904
382	0.0935314829
383	0.09349958681
384	0.09348261047
385	0.093470008
386	0.09345164966
387	0.09343406619
388	0.09341018699
389	0.09339786187
390	0.09337498268
391	0.09336223238
392	0.0933414088
393	0.09331776231
394	0.09329076243
395	0.09326520074
396	0.09324191149
397	0.09322451708
398	0.09320673531
399	0.09318636899
400	0.09316280837
401	0.09314172922
402	0.09312545335
403	0.09310646441
404	0.09309015104
405	0.09307712302
406	0.09305753545
407	0.09302771487
408	0.09300396091
409	0.09298537888
410	0.09296425197
411	0.0929493911
412	0.0929340554
413	0.09291679668
414	0.09290551566
415	0.09288763419
416	0.09286854293
417	0.09284597059
418	0.09283175688
419	0.09281434839
420	0.0927834592
421	0.09276495149
422	0.09275242426
423	0.09273348336
424	0.09271867325
425	0.09270063522
426	0.09268723771
427	0.092670968
428	0.09265911939
429	0.09263856744
430	0.09262442938
431	0.09261125275
432	0.09258335468
433	0.09256465569
434	0.09253750408
435	0.09252047597
436	0.09250165569
437	0.09248774747
438	0.09247055488
439	0.09245371707
440	0.09244077289
441	0.09242868183
442	0.09240036669
443	0.09237973836
444	0.09235967015
445	0.09234595763
446	0.09233360922
447	0.09231233088
448	0.09229625441
449	0.0922802856
450	0.092266964
451	0.09225227858
452	0.0922295498
453	0.09221888901
454	0.09219214919
455	0.09217923745
456	0.09216519321
457	0.09214150039
458	0.09212589578
459	0.09211131595
460	0.09209643187
461	0.0920813984
462	0.09206830445
463	0.09205186615
464	0.09203631742
465	0.09201700894
466	0.09199685686
467	0.09198115805
468	0.09196016214
469	0.09194939891
470	0.09193501894
471	0.09192184566
472	0.09190745067
473	0.09189294839
474	0.09187609536
475	0.09185868471
476	0.09184133565
477	0.09182632201
478	0.09181234832
479	0.09179611205
480	0.09178315377
481	0.09174883954
482	0.09174097256
483	0.09172314377
484	0.09171240457
485	0.09170090757
486	0.09168198477
487	0.09167169019
488	0.09165394689
489	0.0916363246
490	0.09162867521
491	0.09160913438
492	0.09158977077
493	0.09157446906
494	0.091553418
495	0.09153163959
496	0.09150857299
497	0.09149692911
498	0.09148410835
499	0.09146852117
500	0.09145274682
501	0.09143779061
502	0.09142279925
503	0.09140738859
504	0.09139932222
505	0.0913809419
506	0.09136155142
507	0.09135028147
508	0.09133478527
509	0.09132553019
510	0.09130834749
511	0.09127638301
512	0.09126130707
513	0.09125425187
514	0.09124309756
515	0.0912286216
516	0.09121956615
517	0.09120563923
518	0.09119338695
519	0.09117694135
520	0.09116934193
521	0.09115870426
522	0.09114256068
523	0.09113064108
524	0.09112230717
525	0.09110322988
526	0.09109211032
527	0.09107859486
528	0.09106920419
529	0.0910573489
530	0.09104662513
531	0.0910274196
532	0.09101047893
533	0.09099881666
534	0.09098883705
535	0.09097738938
536	0.09095919555
537	0.09094545481
538	0.09093869057
539	0.09092758557
540	0.09091646417
541	0.09090504358
542	0.09089688304
543	0.09088251027
544	0.09087021298
545	0.09085450275
546	0.09083098398
547	0.0908156632
548	0.09080873431
549	0.0907848196
550	0.09077466492
551	0.09076055679
552	0.09075147365
553	0.09073407483
554	0.09071517583
555	0.0907014537
556	0.09069097687
557	0.09067981853
558	0.09066643734
559	0.09065245218
560	0.09063980258
561	0.09062759003
562	0.0906115907
563	0.09059357621
564	0.09057937706
565	0.0905539724
566	0.09054389688
567	0.09052945315
568	0.09051073214
569	0.0904979725
570	0.09048946389
571	0.09047741779
572	0.09046741088
573	0.09045099665
574	0.09044031458
575	0.09042811807
576	0.09041812256
577	0.09040794992
578	0.09039854328
579	0.09038936895
580	0.0903803842
581	0.09036949007
582	0.09036046398
583	0.09034818336
584	0.09033622218
585	0.09031802696
586	0.09029988888
587	0.09028702448
588	0.0902743258
589	0.09026410557
590	0.09024786691
591	0.09023082502
592	0.09021848591
593	0.09020642423
594	0.09019932835
595	0.09018706536
596	0.09017835245
597	0.09016977033
598	0.09015990548
599	0.09015221456
600	0.09014583917
601	0.09013618599
602	0.09012483703
603	0.09011031602
604	0.09009196382
605	0.090081832
606	0.0900674692
607	0.09005666343
608	0.09004615119
609	0.09003587949
610	0.0900253559
611	0.09001809035
612	0.09000259287
613	0.08999067599
614	0.08998038658
615	0.08997284888
616	0.08995950577
617	0.08995033126
618	0.0899360177
619	0.08992806174
620	0.08992094028
621	0.0899084091
622	0.08989468717
623	0.08988606236
624	0.08987425973
625	0.0898624797
626	0.08984747011
627	0.08983622039
628	0.08981920703
629	0.08980391925
630	0.08979031178
631	0.08978232875
632	0.08977680541
633	0.08976981652
634	0.08975276384
635	0.08974023073
636	0.08971955354
637	0.08970662914
638	0.08969998889
639	0.08968863142
640	0.08967760385
641	0.08966950856
642	0.089650706
643	0.08963735073
644	0.08962855076
645	0.08961159912
646	0.08960026464
647	0.08958842507
648	0.08957861149
649	0.08956457991
650	0.08955763793
651	0.08954587271
652	0.08953669155
653	0.08952016223
654	0.0895069106
655	0.08949484687
656	0.08948342882
657	0.08947181983
658	0.08946233483
659	0.08945396545
660	0.08944399005
661	0.08943574405
662	0.0894294627
663	0.08941551095
664	0.08940529366
665	0.08939599965
666	0.08938965851
667	0.08936602891
668	0.08935304747
669	0.08933896623
670	0.08933322802
671	0.08932343631
672	0.08930777405
673	0.08929702685
674	0.08928327844
675	0.08927373385
676	0.08926566243
677	0.08925389898
678	0.08924887685
679	0.08923913949
680	0.0892281578
681	0.08922261757
682	0.0892121228
683	0.08920576581
684	0.08919109653
685	0.08918167578
686	0.08916993868
687	0.08916353669
688	0.08915776159
689	0.08914659583
690	0.08913442895
691	0.08912857322
692	0.0891164841
693	0.08910227243
694	0.08909365885
695	0.08908683808
696	0.0890722466
697	0.08906589358
698	0.08905504378
699	0.08904898214
700	0.08903722583
701	0.08902917789
702	0.08902083256
703	0.08900763187
704	0.0890010261
705	0.08899595288
706	0.08898697533
707	0.08897296072
708	0.08896519569
709	0.08895744553
710	0.0889472098
711	0.0889374629
712	0.08892937056
713	0.08892464955
714	0.08891416914
715	0.08890845416
716	0.08890051239
717	0.08888979782
718	0.08888374911
719	0.08887377674
720	0.08886192914
721	0.08884812396
722	0.08884147228
723	0.08883265103
724	0.08882007505
725	0.08881084965
726	0.08880160309
727	0.08879299905
728	0.08878727201
729	0.08877550506
730	0.088761225
731	0.08875412296
732	0.08874906042
733	0.08873679464
734	0.08872793505
735	0.08871755239
736	0.08870998365
737	0.08870410659
738	0.08869858323
739	0.08869343937
740	0.08868296155
741	0.08867416597
742	0.0886633629
743	0.08865006775
744	0.08864373943
745	0.08863787486
746	0.0886297706
747	0.08862145685
748	0.08860592401
749	0.08859516124
750	0.0885879701
751	0.0885787718
752	0.08857229766
753	0.08856296836
754	0.0885542367
755	0.08854513137
756	0.0885357864
757	0.08852786252
758	0.08851944141
759	0.08851264861
760	0.08849953458
761	0.08848980692
762	0.08848596638
763	0.08847973739
764	0.08847117622
765	0.0884642365
766	0.0884493711
767	0.08844246774
768	0.08843356811
769	0.08842448892
770	0.08841396566
771	0.08840170904
772	0.08839137536
773	0.08837765327
774	0.08837252531
775	0.08836367049
776	0.08835524715
777	0.08835048714
778	0.08834078254
779	0.08833101191
780	0.08832047087
781	0.08831092946
782	0.08830275137
783	0.08829765647
784	0.08828901293
785	0.08828529822
786	0.08827443119
787	0.08826753669
788	0.08825651537
789	0.08824996647
790	0.08824128648
791	0.08822789683
792	0.08821896884
793	0.0882149123
794	0.08820800617
795	0.08820174992
796	0.08819454644
797	0.08818761618
798	0.08817962893
799	0.08817271197
800	0.08816532158
801	0.08815885096
802	0.08815271413
803	0.08814303377
804	0.0881313992
805	0.08812527573
806	0.08811133746
807	0.08810939606
808	0.08810321992
809	0.08809337316
810	0.08808008982
811	0.08807230286
812	0.08806233209
813	0.08805513705
814	0.08804513687
815	0.08803662923
816	0.08802785584
817	0.08801567558
818	0.08800543948
819	0.08799507004
820	0.08798867903
821	0.08797954916
822	0.08796828471
823	0.08796079753
824	0.08795342919
825	0.08794429512
826	0.08793768812
827	0.08793195006
828	0.08792379951
829	0.08791835174
830	0.08791107972
831	0.08790305701
832	0.08789827977
833	0.08789103578
834	0.08788034972
835	0.08787600966
836	0.08786873032
837	0.08786059515
838	0.08785363844
839	0.08784640864
840	0.08784045812
841	0.08783037396
842	0.08782145502
843	0.08781189816
844	0.08780395133
845	0.08779513978
846	0.08778729509
847	0.08777825246
848	0.08777048786
849	0.08776460104
850	0.08775914542
851	0.08774868091
852	0.0877368999
853	0.08772859328
854	0.08771836127
855	0.08771303751
856	0.08770717572
857	0.08769594514
858	0.08768998255
859	0.08768030406
860	0.08767208269
861	0.08766673725
862	0.08765868588
863	0.08765072381
864	0.08764480915
865	0.08763000974
866	0.0876243279
867	0.08761298991
868	0.0876054341
869	0.08759814863
870	0.08759095718
871	0.08758449735
872	0.08757760446
873	0.08757176048
874	0.08756222552
875	0.08755237436
876	0.08754732509
877	0.08753703235
878	0.08752803744
879	0.08751514102
880	0.08750685917
881	0.08749981564
882	0.08748996533
883	0.08748433871
884	0.08747338003
885	0.08746628331
886	0.08745640136
887	0.08744941981
888	0.08744414061
889	0.08744064431
890	0.08743331104
891	0.08742457434
892	0.08741224991
893	0.08740586616
894	0.08739920275
895	0.08738806699
896	0.08738182101
897	0.08737512049
898	0.08736964473
899	0.08736166299
900	0.08735627779
901	0.08735023875
902	0.08734384145
903	0.0873356264
904	0.08732933911
905	0.08732536441
906	0.08731732937
907	0.0873061919
908	0.08729742079
909	0.08728806691
910	0.08727718291
911	0.08726730863
912	0.0872640144
913	0.08725612277
914	0.08724649754
915	0.08723958628
916	0.08723362499
917	0.08722868777
918	0.08722142713
919	0.08721495975
920	0.08720973363
921	0.08720168148
922	0.08719245208
923	0.08718346125
924	0.08717473464
925	0.08716548215
926	0.08716025934
927	0.08715184488
928	0.08714379526
929	0.08713448451
930	0.08713030229
931	0.08712200224
932	0.08711514696
933	0.08710925367
934	0.08709717194
935	0.08708993833
936	0.08708277253
937	0.0870741924
938	0.08706465506
939	0.08705862894
940	0.0870554143
941	0.08704880128
942	0.08704248749
943	0.0870358905
944	0.08702800837
945	0.08701861965
946	0.08701116058
947	0.08700262643
948	0.08699380598
949	0.08698615354
950	0.08697757281
951	0.08697011847
952	0.08696233201
953	0.08695802144
954	0.08695224191
955	0.08694408664
956	0.08693690473
957	0.08692817471
958	0.08692289587
959	0.08691752971
960	0.0869101523
961	0.08690179659
962	0.08689415607
963	0.08688536852
964	0.08687815672
965	0.08687118485
966	0.08686715978
967	0.08685995082
968	0.08685533001
969	0.08684051802
970	0.08683633892
971	0.08682876462
972	0.08682155254
973	0.08681585763
974	0.08681016473
975	0.08680150051
976	0.0867973094
977	0.08679067481
978	0.08678099409
979	0.08677413031
980	0.08676385594
981	0.08675615353
982	0.08675168679
983	0.08674130935
984	0.08673220458
985	0.08672271768
986	0.08671649213
987	0.08671093348
988	0.08670365365
989	0.08669709641
990	0.08669106291
991	0.08667764297
992	0.08666936375
993	0.08666423453
994	0.0866505222
995	0.08664419078
996	0.08663744893
997	0.08663203164
998	0.08662681141
999	0.08662015261
