市区町村コード,市区町村人口密度
14363,3885.9
14366,4821.1
14384,5314.6
14401,4644.2
15000,4464.9
15100,5218.2
15101,4845.6
15102,4650.4
15103,5689.1
15104,5271.1
15105,4569.9
15106,3602
15107,6053.1
15108,4408.8
15202,4692.4
15204,4079.2
15205,3249.5
15206,4639
15208,3728.1
15209,3824.2
15210,3440.6
15211,3817.5
15212,3747.8
15213,3612.9
15216,3507.5
15217,2766.4
15218,3606.9
15222,3166.9
15223,3999.6
15226,3523.5
16000,3711.8
16201,3984
16202,3389.2
16204,2944.9
16205,3246
16206,3177.4
16208,2988
16209,3431.6
16211,3595
17000,5150.7
17201,5746.7
17202,2917.2
17203,3654.6
17204,3181.8
17206,3539.3
17207,2803.5
17210,4883.2
17211,3001
17212,5827.7
17361,4414.3
17365,5682.2
18000,3893.8
18201,4616.5
18202,3379.5
18204,3107.3
18205,3214.1
18206,3029.2
18207,3179.7
18208,2667.2
18209,3292.4
18210,3747.1
18322,4204.4
19000,4256.5
19201,4535.9
19202,3577.7
19204,4432.4
19205,2497.7
19210,4425.6
19212,4179
19214,3147.3
20000,4139
20201,4909.8
20202,4576.4
20203,3664.6
20204,3438
20205,3337.4
20206,3559.7
20207,3916.6
20209,2195.8
20210,2942.7
20211,3779.2
20214,2988.6
20215,4231.9
20217,3021.8
20218,3245.7
20220,3582.3
20361,3755.9
21000,4224.5
21201,4856.3
21202,4158.7
21203,4107.4
21204,4282.2
21205,3962.1
21206,2774
21208,3779.8
21209,3840.9
21210,2856.6
21211,3259
21212,3263.5
21213,4061.1
21214,4157.8
21216,4023
21217,3660.6
21302,3982.4
21303,4034.9
21361,3065.2
21381,2569.2
21421,4499.7
22000,5025.7
22100,5798.4
22101,7074.9
22102,5979.4
22103,4732.6
22130,5424.4
22131,5949.2
22132,4915.8
22133,4529.8
22134,5216.5
22135,5038.8
22136,5724.1
22203,4876.3
22205,5585.9
22206,5997.7
22207,4248.7
22208,4563.8
22209,4168.1
22210,3783.7
22211,4314
22212,4787.4
22213,4723.3
22214,5229.7
22215,5304.3
22216,4096.3
22220,4954.7
22221,3676.7
22224,4221.7
22225,4449.9
22226,3480.2
22325,6087
22341,4653.4
22342,5598.6
22424,4070.3
23000,6156.7
23100,7976.4
23101,9089.4
23102,10945.8
23103,9295.8
23104,8426.2
23105,8503
23106,9925.4
23107,9835.4
23108,9655.3
23109,8165.5
23110,7485.1
23111,4079.3
23112,7286.6
23113,7874.1
23114,7150.2
23115,9513.6
23116,9034.6
23201,5891.7
23202,5717.2
23203,5450.4
23204,5705.8
23205,4235.4
23206,5795
23207,4936.2
23208,5857
23209,3602
23210,5593.9
23211,6076.8
23212,7059.7
23213,4794.3
23214,3685.9
23215,5449.2
23216,4225.1
23217,5954.4
23219,4808.8
23220,6949.3
23221,4462.2
23222,3473.3
23223,5898.5
23224,3404.2
23225,6837.9
23226,5882.2
23227,4294.2
23228,8199.8
23229,6289.1
23230,7165.1
23231,4076.2
23232,5631
23233,4957.7
23234,7127.1
23235,4825.2
23236,6167.3
23237,5572.2
23238,7099
23302,7762.1
23342,2766.3
23361,5978.7
23362,5529.2
23424,5443.8
23425,5971.3
23441,8595
23442,5995.1
23447,3570.1
23501,5695.2
24000,4075.3
24201,4268.1
24202,3498.4
24203,3803.5
24204,4664.4
24205,5169.3
24207,4152.3
24208,4619
24209,3174.7
24210,3143.7
24216,4141
24324,5714.9
24341,4361.6
24344,3633.6
25000,5821.2
25201,6802.6
25202,4759.8
25203,4415.2
25204,5565.7
25206,7184.4
25207,5571.1
25208,6465.4
25209,2543.3
25210,7200.6
25211,4018.2
25213,5189.1
26000,8132.8
26100,9771.9
26101,9922.4
26102,11924.9
26103,8459
26104,14910.7
26105,8328.2
26106,12210
26107,7026.4
26108,11664.3
26109,8361.8
26110,10729.4
26111,9742.7
26201,3055.7
26202,3678.1
26203,3568.6
26204,7421.6
26205,3228.6
26206,6824.6
26207,9376.3
26208,9505.9
26209,8130.5
26210,7951.7
26211,7280.2
26213,3623
26214,6779
26303,5121.4
26322,3059.6
26366,5181.5
27000,9146
27100,12262.2
27102,17747.4
27103,16986.7
27104,3384.4
27106,20319
27107,10298.7
27108,6583.6
27109,16972.7
27111,17199.1
27113,6746.2
27114,13347.4
27115,18701.8
27116,15210.2
27117,14188.3
27118,20172.2
27119,18561
27120,16282.6
27121,13112.7
27122,14397.7
27123,14513
27124,13793.3
27125,5806.2
27126,13333.9
27127,13479.3
27128,11694
27140,7231.6
27141,6284.1
27142,7760.6
27143,9690.3
27144,4976.7
27145,7557.1
27146,10955.1
27147,6221.7
27202,6479.3
27203,11034.8
27204,9689.6
27205,10683.5
27206,5192.7
27207,10305.6
27208,4940.2
27209,11258.5
27210,8939
27211,9747
27212,8306.4
27213,4098.4
27214,6669
27215,9987.6
27216,6349.1
27217,8133.4
27218,9445.9
27219,7776.3
27220,8145.1
27221,7657.6
27222,7640.5
27223,9736.9
27224,6998
27225,4923.5
27226,7164
27227,9970.9
27228,3628.1
27229,9147.6
27230,7669.4
27231,7601.2
27232,5965.2
27301,9072.9
27321,6303.7
27341,4173
27361,5265
27362,1903.3
27381,5267.8
27382,5657
28000,7164.8
28100,8801.7
28101,9484.9
28102,11857.6
28105,11914.9
28106,10209.7
28107,8579.7
28108,9642.5
28109,7226.1
28110,8101.8
28111,6944
28201,4083.6
28202,9061.4
28203,7683.4
28204,10976.5
28205,3454.7
28206,10031.4
28207,8137
28208,4342.9
28209,4064.3
28210,5034.2
28212,2939.9
28213,3406.4
28214,8715.9
28215,5071.2
28216,4029.3
28217,7047.3
28218,4752.5
28219,6897.4
28220,4312.8
28228,4838.8
28229,4020.2
28301,5903.4
28381,6242.6
28382,4090.3
28464,5016.2
29000,6035.8
29201,6284.9
29202,6301.1
29203,5764.8
29204,4523
29205,6608.4
29206,4817.2
29207,3181.9
29208,3907.3
29209,6843.7
29210,6388.6
29211,5625.3
29343,5457.6
29344,5583.8
29363,5265
29424,6469.9
29425,5930.6
29426,5669.4
29427,5636
30000,3977.1
30201,4297.1
30202,2732.6
30204,1347.1
30205,3226.9
30206,3896
30207,3726.9
30361,4069
31000,3911.6
31201,4738.8
31202,4163.8
31203,2916.2
31204,1844.2
32000,4174.8
32201,4766.4
32202,3561.7
32203,3859.7
32204,2967.1
32206,2623
33000,4427.3
33100,5963.8
33101,6549.3
33102,5806.7
33103,5061.9
33104,5496.3
33202,3269.8
33203,2979
33204,2571.6
33205,3534.6
33207,3247.8
33208,5358
33209,3776.8
33213,5273
33423,4745.3
34000,6068.8
34100,7733.6
34101,9314.6
34102,8204.5
34103,7473.6
34104,7727
34105,8170.1
34106,5779.1
34107,6296.7
34108,8211.3
34202,5149.8
34203,2752.9
34204,4300.8
34205,4213.7
34207,4417.9
34208,3279.6
34209,3996.8
34211,2754.5
34212,5790.9
34213,5401.1
34302,8805
34304,5765.5
34309,3495.5
35000,3179.4
35201,4080.6
35202,2984
35203,4279.6
35204,2861.8
35206,2996
35207,3269.9
35208,2329.4
35210,2616
35212,2051.6
35215,2811.5
35216,2283.7
36000,4206.9
36201,4515.5
36202,3048.4
36203,3265.3
36204,3488.4
36205,3370.3
36402,4503
36403,5242.2
37000,4046.9
37201,5077.2
37202,2886.5
37203,2382.5
37204,3076.8
37205,2795.3
37206,2659.7
37386,4225.5
37404,2542.4
38000,4578.3
38201,6054.9
38202,3991
38203,4737.4
38204,4714.6
38205,2898.6
38206,3078
38207,3706.6
38210,4344.2
38213,2419.9
38215,4506.8
38401,3230
38402,5950.5
39000,5794
39201,5970
39204,6028.4
39205,3778.7
39210,4079.7
39212,5404.4
40000,6322.7
40100,5196.4
40101,4661.6
40103,3853.4
40105,3500.5
40106,6351.5
40107,6548
40108,4231.7
40109,5272.3
40130,9457.9
40131,6770
40132,9030.8
40133,13352.9
40134,10380.7
40135,9820.1
40136,10674.8
40137,11132.8
40202,3028.9
40203,5446.1
40204,3449.8
40205,3857.4
40206,3300.5
40207,3331.3
40210,3439.9
40211,3276
40212,2701.4
40213,4219.9
40215,4979.7
40216,5904.6
40217,6862.4
40218,8074.3
40219,7364.1
40220,5365.6
40221,6291.1
40223,5526.5
40224,6040.7
40228,3946.8
40230,6817.4
40231,7720.5
40341,4608.1
40342,7413.4
40343,6825.5
40344,4822.6
40345,5737.8
40349,6398.4
40381,1299.6
40382,4767.3
40383,4735.8
40621,1983.3
41000,4246.8
41201,4901.7
41202,3231.7
41203,4102.1
41205,4073.9
41206,3944.9
41207,3270.3
41208,4024
41210,4281.9
41341,4657.1
42000,5013.8
42201,6756.2
42202,4568.3
42203,3013.3
42204,3705.4
42205,3647.3
42211,3205.9
42307,6238.8
42308,4850.3
43000,5216.9
43100,6226.4
43101,7863.8
43102,6082.5
43103,5755.1
43104,5339.9
43105,5308
43202,3103.6
43203,2748.7
43204,3285.3
43205,2472
43206,3682.9
43208,3604.7
43210,3284.3
43211,3177.2
43213,4105.7
43215,3532.2
43216,6448
43403,4479.9
43404,5315.5
43443,5382.3
44000,4545.6
44201,4737.3
44202,5589.8
44203,3898.9
44204,3790.3
44205,2870.5
44206,3327.5
44207,2494.4
45000,4253.9
45201,5355.2
45202,3319.1
45203,3904.8
45204,3157.3
45205,2453.5
45206,3183.5
45208,3211.2
45401,2822.5
45421,4013.6
46000,5286.5
46201,6320.3
46203,2735.2
46204,2519.3
46210,3382.1
46215,3383.6
46216,3834.1
46218,4292.3
46219,3354
46222,6460.2
46225,4071.4
47000,7115.6
47201,8184.6
47205,8072.3
47207,5800.9
47208,8721.4
47209,5326.7
47210,5745.5
47211,6658.6
47212,6975.3
47213,5715.6
47214,4597.4
47324,5410.3
47325,7000.5
47326,6138.4
47328,7757.5
47329,6260.6
47348,7204.7
47350,6889
47362,7212.7
11327,273.1
23445,419
23446,486
24343,1840
26343,389
27366,276
29212,110
29441,63
